Mes,SemanaDelMes,DiaDeLaSemana,MarcaVehiculo,AreaAccidente,DiaReclamo,MesReclamo,SemanaReclamo,Genero,EstadoCivil,Edad,Culpa,TipoPoliza,CategoriaVehiculo,PrecioVehiculo,FraudeDetectado,NumeroPoliza,NumeroRepresentante,Deducible,CalificacionConductor,DiasPolizaAccidente,DiasPolizaReclamo,NumeroReclamosAnteriores,EdadVehiculo,EdadAsegurado,ReportePolicial,TestigoPresente,TipoAgente,NumeroSuplementos,CambioDireccionReclamo,NumeroVehiculos,Año,PolizaBase
Octubre,2.0,Martes,Pontiac,Urbano,Wednesday,Oct,2.0,Masculino,Casado,39.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3289,9,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994.0,All Perils
Diciembre,1.0,Jueves,Toyota,Urbano,Monday,Dec,2.0,Masculino,Casado,51.0,Third Party,Sedan - Liability,Sport,20000 to 29000,0,3291,2,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994.0,Liability
Julio,2.0,Sábado,Pontiac,Urbano,Tuesday,Jul,2.0,Masculino,Casado,26.0,Third Party,Sedan - Liability,Sport,30000 to 39000,0,3294,8,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Liability
Mayo,1.0,Martes,Toyota,Urbano,Thursday,May,1.0,Masculino,Casado,46.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,3298,14,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1994.0,Collision
Julio,4.0,Martes,Pontiac,Urbano,Thursday,Aug,2.0,Femenino,Casado,35.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3303,12,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Marzo,1.0,Viernes,Pontiac,Urbano,Monday,Mar,3.0,Masculino,Casado,33.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3305,2,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Liability
Septiembre,5.0,Viernes,Ford,Urbano,Thursday,Oct,1.0,Masculino,Casado,47.0,Policy Holder,Utility - All Perils,Utility,more than 69000,0,3306,2,400,3,more than 30,more than 30,1,more than 7,41 to 50,Sí,No,External,more than 5,no change,1 vehicle,1994.0,All Perils
Enero,3.0,Viernes,Toyota,Urbano,Friday,Jan,4.0,Femenino,Soltero,22.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3313,1,400,2,more than 30,more than 30,2 to 4,6 years,26 to 30,Sí,No,External,none,no change,1 vehicle,1994.0,Collision
Diciembre,3.0,Sábado,Toyota,Urbano,Tuesday,Dec,3.0,Masculino,Soltero,28.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,3323,15,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Diciembre,3.0,Lunes,Ford,Urbano,Wednesday,Dec,4.0,Masculino,Casado,27.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3324,1,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Abril,1.0,Lunes,Honda,Urbano,Friday,Apr,2.0,Masculino,Casado,64.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3326,9,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994.0,Collision
Abril,1.0,Martes,Mazda,Urbano,Tuesday,Apr,1.0,Masculino,Casado,61.0,Third Party,Sedan - Liability,Sport,more than 69000,0,3327,13,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994.0,Liability
Noviembre,1.0,Viernes,Honda,Urbano,Thursday,Nov,2.0,Femenino,Casado,34.0,Third Party,Sport - Collision,Sport,more than 69000,0,3341,7,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Septiembre,2.0,Jueves,Mazda,Urbano,Friday,Sep,2.0,Masculino,Soltero,30.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3344,1,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Mayo,2.0,Miércoles,Chevrolet,Urbano,Wednesday,May,2.0,Masculino,Casado,26.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3348,3,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,Collision
Junio,1.0,Viernes,Chevrolet,Urbano,Tuesday,Jun,1.0,Masculino,Casado,53.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3352,12,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994.0,Collision
Mayo,1.0,Jueves,Pontiac,Urbano,Thursday,May,2.0,Masculino,Casado,46.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3357,12,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Marzo,4.0,Jueves,Accura,Rural,Friday,Apr,4.0,Masculino,Casado,38.0,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,3360,15,400,4,1 to 7,more than 30,1,6 years,36 to 40,No,Sí,External,none,no change,1 vehicle,1994.0,All Perils
Octubre,3.0,Miércoles,Chevrolet,Urbano,Friday,Oct,3.0,Femenino,Soltero,34.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3361,5,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994.0,Collision
Enero,5.0,Sábado,Honda,Urbano,Thursday,Feb,1.0,Masculino,Soltero,27.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3362,5,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,Collision
Enero,2.0,Martes,Toyota,Rural,Thursday,Jan,2.0,Masculino,Casado,26.0,Third Party,Sedan - All Perils,Sedan,less than 20000,0,3363,5,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,3 to 4,1994.0,All Perils
Marzo,5.0,Martes,Pontiac,Urbano,Friday,Apr,1.0,Masculino,Casado,38.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3365,16,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,Liability
Mayo,5.0,Sábado,Honda,Urbano,Monday,May,5.0,Masculino,Casado,38.0,Third Party,Sedan - Collision,Sedan,more than 69000,0,3366,10,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994.0,Collision
Agosto,4.0,Miércoles,Honda,Urbano,Thursday,Aug,4.0,Masculino,Casado,34.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3367,14,500,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1994.0,Collision
Julio,1.0,Jueves,Mazda,Urbano,Wednesday,Jul,3.0,Masculino,Soltero,32.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3374,13,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Liability
Julio,2.0,Jueves,Honda,Urbano,Wednesday,Jul,3.0,Masculino,Soltero,32.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,3378,16,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Octubre,2.0,Martes,Chevrolet,Rural,Monday,Oct,3.0,Masculino,Casado,33.0,Policy Holder,Utility - All Perils,Utility,more than 69000,0,3392,2,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Enero,3.0,Viernes,Mazda,Urbano,Tuesday,Jan,4.0,Femenino,Soltero,27.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3395,6,400,2,more than 30,more than 30,none,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Enero,5.0,Lunes,Mazda,Urbano,Monday,Jan,5.0,Masculino,Casado,34.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3397,8,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Liability
Agosto,1.0,Martes,Toyota,Urbano,Tuesday,Aug,1.0,Masculino,Casado,47.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3403,14,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,1994.0,Liability
Octubre,2.0,Sábado,Pontiac,Urbano,Friday,Oct,2.0,Femenino,Soltero,25.0,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,3405,5,400,4,more than 30,more than 30,1,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994.0,Collision
Octubre,3.0,Miércoles,Toyota,Urbano,Monday,Nov,1.0,Masculino,Casado,40.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,3411,10,700,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Agosto,5.0,Jueves,Nisson,Rural,Tuesday,Nov,3.0,Masculino,Casado,40.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,3413,1,400,2,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994.0,Liability
Agosto,3.0,Martes,Toyota,Urbano,Thursday,Aug,3.0,Masculino,Casado,27.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3414,4,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994.0,All Perils
Mayo,3.0,Domingo,Chevrolet,Rural,Tuesday,May,4.0,Masculino,Soltero,34.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3419,12,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,All Perils
Mayo,1.0,Viernes,Honda,Urbano,Wednesday,May,2.0,Masculino,Divorced,30.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,3423,14,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Febrero,1.0,Jueves,Toyota,Urbano,Monday,Feb,1.0,Masculino,Soltero,27.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3427,12,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Enero,5.0,Lunes,Pontiac,Urbano,Wednesday,Feb,1.0,Masculino,Casado,61.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3429,7,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994.0,Collision
Mayo,2.0,Sábado,Pontiac,Urbano,Friday,May,3.0,Masculino,Casado,38.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3434,13,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,Collision
Enero,4.0,Lunes,Accura,Urbano,Tuesday,Feb,2.0,Masculino,Soltero,44.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3437,12,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994.0,All Perils
Septiembre,3.0,Miércoles,Pontiac,Urbano,Wednesday,Oct,1.0,Masculino,Soltero,43.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,3448,11,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994.0,All Perils
Mayo,2.0,Domingo,Mazda,Rural,Tuesday,May,4.0,Masculino,Soltero,29.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,3457,4,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Mayo,2.0,Domingo,Mazda,Urbano,Monday,May,2.0,Masculino,Soltero,21.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,3461,10,400,1,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994.0,Collision
Febrero,2.0,Sábado,Pontiac,Rural,Tuesday,Feb,3.0,Masculino,Casado,58.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,3465,15,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994.0,Collision
Noviembre,1.0,Miércoles,Mazda,Urbano,Thursday,Nov,1.0,Femenino,Casado,37.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3468,4,400,4,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994.0,Liability
Marzo,1.0,Viernes,Chevrolet,Urbano,Friday,Mar,3.0,Masculino,Soltero,27.0,Policy Holder,Utility - All Perils,Utility,more than 69000,0,3475,13,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,All Perils
Julio,4.0,Sábado,Pontiac,Urbano,Thursday,Aug,5.0,Masculino,Soltero,27.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3491,10,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994.0,Collision
Mayo,2.0,Lunes,Honda,Urbano,Monday,May,3.0,Masculino,Casado,48.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,3493,16,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Mayo,2.0,Jueves,Toyota,Urbano,Thursday,Jun,4.0,Masculino,Casado,28.0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,3497,12,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,Collision
Julio,1.0,Sábado,Toyota,Urbano,Tuesday,Jul,3.0,Masculino,Casado,31.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3501,2,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Mayo,2.0,Lunes,Accura,Rural,Wednesday,May,2.0,Masculino,Casado,35.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,3502,2,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Octubre,1.0,Martes,Toyota,Urbano,Wednesday,Oct,1.0,Femenino,Casado,54.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3504,3,400,1,more than 30,more than 30,1,4 years,41 to 50,No,No,External,none,no change,1 vehicle,1994.0,Collision
Octubre,1.0,Domingo,Pontiac,Urbano,Monday,Oct,1.0,Masculino,Casado,60.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3505,3,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994.0,All Perils
Agosto,2.0,Lunes,Pontiac,Rural,Tuesday,Aug,2.0,Masculino,Casado,34.0,Third Party,Sedan - All Perils,Sedan,less than 20000,0,3512,16,400,1,more than 30,more than 30,2 to 4,3 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994.0,All Perils
Diciembre,2.0,Jueves,Pontiac,Rural,Tuesday,Dec,2.0,Masculino,Casado,51.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3514,10,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994.0,Collision
Junio,4.0,Jueves,Toyota,Urbano,Thursday,Jun,4.0,Masculino,Soltero,33.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3517,13,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994.0,Liability
Febrero,2.0,Miércoles,Toyota,Urbano,Thursday,Feb,2.0,Masculino,Casado,52.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3524,3,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994.0,Collision
Febrero,2.0,Martes,Pontiac,Urbano,Tuesday,Feb,2.0,Masculino,Casado,39.0,Third Party,Sedan - Liability,Sport,30000 to 39000,0,3527,1,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,Internal,1 to 2,no change,3 to 4,1994.0,Liability
Enero,2.0,Jueves,Pontiac,Urbano,Friday,Jan,3.0,Masculino,Casado,32.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3533,9,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Liability
Mayo,3.0,Jueves,Accura,Urbano,Tuesday,Jul,1.0,Masculino,Casado,34.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,3542,13,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994.0,All Perils
Febrero,4.0,Viernes,Honda,Urbano,Friday,Feb,4.0,Masculino,Soltero,0.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,3545,16,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994.0,Liability
Mayo,2.0,Sábado,Pontiac,Rural,Tuesday,May,2.0,Masculino,Casado,33.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3546,10,400,4,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Abril,1.0,Domingo,Accura,Urbano,Thursday,Apr,3.0,Masculino,Soltero,40.0,Third Party,Sedan - Collision,Sedan,more than 69000,0,3547,14,400,3,more than 30,more than 30,2 to 4,3 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994.0,Collision
Julio,1.0,Lunes,Honda,Urbano,Monday,Jul,1.0,Masculino,Casado,40.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3548,2,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,Liability
Octubre,4.0,Sábado,VW,Urbano,Monday,Oct,4.0,Femenino,Viudo,43.0,Policy Holder,Sedan - Collision,Sedan,60000 to 69000,0,3551,4,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,Internal,none,no change,1 vehicle,1994.0,Collision
Enero,1.0,Lunes,Pontiac,Urbano,Tuesday,Jan,3.0,Masculino,Soltero,28.0,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,3565,5,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Enero,1.0,Martes,Mazda,Urbano,Wednesday,Jan,1.0,Femenino,Casado,43.0,Third Party,Sedan - Collision,Sedan,more than 69000,0,3566,5,700,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,Collision
Diciembre,5.0,Sábado,Mazda,Urbano,Wednesday,Jan,2.0,Masculino,Casado,47.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3568,4,400,2,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,more than 5,no change,3 to 4,1994.0,Liability
Diciembre,5.0,Sábado,Honda,Urbano,Monday,Jan,2.0,Masculino,Casado,28.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3569,10,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,Collision
Mayo,2.0,Miércoles,Accura,Rural,Wednesday,May,3.0,Masculino,Casado,72.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,3570,12,400,2,more than 30,more than 30,none,5 years,over 65,No,No,External,more than 5,no change,1 vehicle,1994.0,All Perils
Agosto,5.0,Miércoles,Pontiac,Urbano,Thursday,Sep,1.0,Femenino,Casado,43.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3576,14,400,2,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994.0,Liability
Marzo,5.0,Miércoles,Mazda,Urbano,Thursday,Apr,2.0,Masculino,Casado,45.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3582,7,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994.0,Collision
Marzo,1.0,Martes,Chevrolet,Rural,Friday,Mar,1.0,Masculino,Casado,49.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3584,8,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994.0,Collision
Noviembre,2.0,Viernes,Honda,Urbano,Friday,Jun,4.0,Masculino,Soltero,0.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,3588,8,400,3,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Diciembre,1.0,Viernes,Honda,Urbano,Friday,Dec,4.0,Masculino,Casado,52.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3592,7,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994.0,Collision
Febrero,3.0,Viernes,Honda,Urbano,Friday,Feb,3.0,Masculino,Casado,40.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,3598,14,400,3,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,Liability
Marzo,3.0,Sábado,Toyota,Urbano,Tuesday,Mar,4.0,Masculino,Casado,59.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3605,14,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Marzo,2.0,Jueves,Pontiac,Urbano,Thursday,Mar,2.0,Masculino,Casado,48.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,3606,16,400,4,more than 30,more than 30,1,5 years,41 to 50,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Febrero,4.0,Jueves,Pontiac,Urbano,Friday,Feb,4.0,Masculino,Casado,40.0,Third Party,Sedan - Collision,Sedan,less than 20000,0,3607,13,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994.0,Collision
Enero,3.0,Martes,Honda,Urbano,Tuesday,Jan,3.0,Masculino,Soltero,33.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3612,12,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Liability
Mayo,2.0,Viernes,Pontiac,Urbano,Friday,May,2.0,Masculino,Casado,50.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,3614,5,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994.0,All Perils
Enero,1.0,Jueves,Honda,Rural,Friday,Jan,2.0,Masculino,Casado,34.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3617,9,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994.0,Liability
Enero,1.0,Miércoles,Chevrolet,Urbano,Saturday,Jan,2.0,Femenino,Casado,48.0,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,3618,14,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Marzo,1.0,Jueves,Mazda,Rural,Monday,Mar,1.0,Masculino,Casado,50.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3623,14,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Febrero,3.0,Domingo,Chevrolet,Urbano,Wednesday,Feb,4.0,Masculino,Casado,36.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,3625,14,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Enero,2.0,Miércoles,Honda,Urbano,Wednesday,Jan,2.0,Femenino,Casado,30.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3635,13,400,2,more than 30,more than 30,1,4 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,Liability
Febrero,1.0,Domingo,Chevrolet,Urbano,Monday,Feb,2.0,Masculino,Casado,46.0,Third Party,Sedan - Liability,Sport,30000 to 39000,0,3637,8,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994.0,Liability
Enero,4.0,Viernes,Pontiac,Rural,Thursday,Feb,1.0,Masculino,Casado,38.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,3640,4,400,2,more than 30,more than 30,none,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994.0,All Perils
Diciembre,4.0,Viernes,Pontiac,Urbano,Thursday,Jan,2.0,Masculino,Casado,50.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3645,9,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994.0,All Perils
Diciembre,5.0,Martes,Pontiac,Urbano,Monday,Jan,1.0,Masculino,Soltero,30.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,3655,9,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994.0,Liability
Enero,1.0,Lunes,Honda,Urbano,Monday,Jan,1.0,Masculino,Casado,38.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3660,2,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994.0,All Perils
Enero,3.0,Viernes,Pontiac,Urbano,Tuesday,Jan,3.0,Masculino,Casado,54.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3670,3,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994.0,Liability
Marzo,3.0,Lunes,Accura,Urbano,Thursday,Mar,3.0,Masculino,Casado,51.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,3675,15,400,1,more than 30,more than 30,more than 4,5 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994.0,All Perils
Mayo,3.0,Domingo,Toyota,Urbano,Friday,May,3.0,Femenino,Soltero,31.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3682,4,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994.0,Liability
Febrero,1.0,Lunes,Honda,Urbano,Wednesday,Feb,2.0,Masculino,Soltero,35.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3692,12,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Febrero,1.0,Viernes,Pontiac,Urbano,Thursday,Mar,4.0,Masculino,Soltero,27.0,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,3695,8,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,All Perils
